Week,Activity ID,Activity Name,Duration (minutes),Description,Image URL
5,2,Learn Something New,30,Try a new skill or explore a topic of interest.,https://www.shutterstock.com/image-photo/learning-new-skill-online-260nw-1935953123.jpg
5,3,Practice Gratitude Before Bed,5,Think of three things you're grateful for.,https://unsplash.com/photos/gratitude-journal-on-bed-3ZUsNJhi_Ik
5,4,Take a Relaxing Bath,30,Enjoy a warm bath to relieve stress.,https://www.gettyimages.com/detail/photo/relaxing-bath-with-candles-royalty-free-image/1139196415
5,5,Do a Creative Activity,40,Paint, draw, or express yourself creatively.,https://www.istockphoto.com/photo/creative-painting-session-gm1212189870-352304282
5,6,Listen to a Podcast,20,Choose a podcast that interests or motivates you.,https://www.shutterstock.com/image-photo/listening-podcast-headphones-260nw-1935953123.jpg
5,7,Have a Screen-Free Morning,60,Start your day without checking your phone.,https://www.adelaidenow.com.au/lifestyle/going-offline-is-the-wellness-trend-of-the-year/news-story/6375b651cfbaa6e683feeaec1ebd852e
6,1,Practice Self-Compassion,10,Be kind to yourself and avoid negative self-talk.,https://www.istockphoto.com/photo/self-compassion-meditation-gm1282261791-376726492
6,2,Go to Bed Early,30,Ensure you get enough restful sleep.,https://www.shutterstock.com/image-photo/early-bedtime-good-sleep-260nw-1935953123.jpg
6,3,Write Down Your Goals,20,Set clear and achievable goals.,https://unsplash.com/photos/goal-setting-notebook-3ZUsNJhi_Ik
6,4,Take a Day Off for Yourself,60,Dedicate a day to self-care and relaxation.,https://www.gettyimages.com/detail/photo/self-care-day-off-royalty-free-image/1139196415
6,5,Do a Social Media Detox,1440,Stay off social media for a full day.,https://www.adelaidenow.com.au/lifestyle/going-offline-is-the-wellness-trend-of-the-year/news-story/6375b651cfbaa6e683feeaec1ebd852e
6,6,Try a New Workout,30,Experiment with a different form of exercise.,https://www.istockphoto.com/photo/new-workout-routine-gm1212189870-352304282
6,7,Spend Time with Loved Ones,40,Connect with family or friends in person.,https://www.shutterstock.com/image-photo/spending-time-loved-ones-260nw-1935953123.jpg
7,1,Practice a Random Act of Kindness,10,Do something nice for someone else.,https://unsplash.com/photos/random-act-of-kindness-3ZUsNJhi_Ik
7,2,Dance to Your Favorite Song,5,Move your body and have fun!,https://www.gettyimages.com/detail/photo/dancing-to-favorite-song-royalty-free-image/1139196415
7,3,Try Guided Meditation,15,Listen to a guided meditation session.,https://www.istockphoto.com/photo/guided-meditation-session-gm1282261791-376726492
7,4,Unplug and Watch the Sunset,20,Enjoy nature without distractions.,https://www.adelaidenow.com.au/lifestyle/going-offline-is-the-wellness-trend-of-the-year/news-story/6375b651cfbaa6e683feeaec1ebd852e
7,5,Write Down One Success Each Day,10,Celebrate your daily wins, no matter how small.,https://unsplash.com/photos/daily-success-journal-3ZUsNJhi_Ik
7,6,Try Aromatherapy,15,Use essential oils to relax your senses.,https://www.shutterstock.com/image-photo/aromatherapy-session-260nw-1935953123.jpg
7,7,Plan a Weekend Getaway,30,Look forward to something exciting.,https://www.gettyimages.com/detail/photo/weekend-getaway-planning-royalty-free-image/1139196415
8,1,Do a Full-Body Stretch,10,Stretch every part of your body to feel refreshed.,https://www.istockphoto.com/photo/full-body-stretching-exercise-gm1212189870-352304282
8,2,Write a Reflection on This Journey,30,Document your experience over the 8 weeks.,https://www.shutterstock.com/image-photo/reflection-writing-journal-260nw-1935953123.jpg
8,3,Practice Deep Relaxation,20,Try progressive muscle relaxation for stress relief.,https://www.gettyimages.com/detail/photo/deep-relaxation-meditation-royalty-free-image/1139196415
8,4,Create a Self-Care Routine,25,Plan a long-term self-care routine.,https://www.istockphoto.com/photo/self-care-routine-planning-gm1212189870-352304282
8,5,Spend Time in Silence,15,Embrace a quiet moment without distractions.,https://unsplash.com/photos/silent-reflection-moment-3ZUsNJhi_Ik
8,6,Read Inspirational Stories,30,Gain motivation by reading real-life inspiring stories.,https://www.shutterstock.com/image-photo/reading-inspirational-story-book-260nw-1935953123.jpg
8,7,Try Journaling with Prompts,20,Use journaling prompts to explore your thoughts deeply.,https://www.gettyimages.com/detail/photo/guided-journaling-prompts-royalty-free-image/1139196415
8,8,Revisit Your Goals,30,Check on your progress and set new goals for the future.,https://www.istockphoto.com/photo/goal-tracking-notebook-gm1282261791-376726492
8,9,Enjoy a Digital-Free Evening,60,Disconnect from screens and unwind naturally.,https://www.adelaidenow.com.au/lifestyle/going-offline-is-the-wellness-trend-of-the-year/news-story/6375b651cfbaa6e683feeaec1ebd852e
8,10,Express Gratitude to Someone,15,Write a note or call someone to show appreciation.,https://www.shutterstock.com/image-photo/gratitude-letter-writing-260nw-1935953123.jpg
